,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,nameFull
1873,brocklo01,1939.0,6.0,18.0,USA,AR,El Dorado,,,,,,,Lou,Brock,Louis Clark,170.0,71.0,L,L,9/10/1961,9/30/1979,brocl102,brocklo01,Louis Clark Brock
1874,brockta01,1973.0,12.0,25.0,USA,CA,Goleta,,,,,,,Tarrik,Brock,Tarrik Jumaan,170.0,75.0,L,L,3/29/2000,4/22/2000,broct001,brockta01,Tarrik Jumaan Brock
1875,brodebr01,1986.0,9.0,1.0,USA,AZ,Phoenix,,,,,,,Brian,Broderick,Brian Michael,205.0,78.0,R,R,4/3/2011,5/13/2011,brodb001,brodebr01,Brian Michael Broderick
1876,brodema01,1877.0,12.0,1.0,USA,PA,Lattimer,1940.0,2.0,26.0,USA,PA,Freeland,Matt,Broderick,Matthew Thomas,135.0,66.0,R,R,5/1/1903,5/6/1903,brodm101,brodema01,Matthew Thomas Broderick
1877,brodist01,1868.0,9.0,11.0,USA,VA,Warrenton,1935.0,10.0,30.0,USA,MD,Baltimore,Steve,Brodie,Walter Scott,180.0,71.0,L,R,1890-04-21,10/4/1902,brods101,brodist01,Walter Scott Brodie
1878,brododi01,1932.0,7.0,26.0,USA,NJ,Bayonne,,,,,,,Dick,Brodowski,Richard Stanley,182.0,73.0,R,R,6/15/1952,7/4/1959,brodd101,brododi01,Richard Stanley Brodowski
1879,brogler01,1935.0,8.0,27.0,USA,CA,Berkeley,,,,,,,Ernie,Broglio,Ernest Gilbert,200.0,74.0,R,R,4/11/1959,7/2/1966,broge101,brogler01,Ernest Gilbert Broglio
1880,brognri01,1970.0,4.0,18.0,USA,MA,Turners Falls,,,,,,,Rico,Brogna,Rico Joseph,190.0,74.0,L,L,8/8/1992,7/16/2001,brogr001,brognri01,Rico Joseph Brogna
1881,brohaja01,1950.0,2.0,26.0,USA,CA,Maywood,,,,,,,Jack,Brohamer,John Anthony,165.0,70.0,L,R,4/18/1972,9/28/1980,brohj101,brohaja01,John Anthony Brohamer
1882,brohatr01,1973.0,1.0,14.0,USA,MD,Cambridge,,,,,,,Troy,Brohawn,Michael Troy,190.0,73.0,L,L,4/14/2001,5/12/2003,broht001,brohatr01,Michael Troy Brohawn
1883,brondke01,1921.0,10.0,17.0,USA,NE,Bradshaw,2004.0,10.0,3.0,USA,CA,Van Nuys,Ken,Brondell,Kenneth Leroy,195.0,73.0,R,R,5/3/1944,10/1/1944,bronk101,brondke01,Kenneth Leroy Brondell
1884,bronkhe01,1884.0,8.0,6.0,USA,CT,South Manchester,1968.0,5.0,27.0,USA,CT,Somers,Herman,Bronkie,Charles Herman,165.0,69.0,R,R,9/20/1910,8/15/1922,bronh101,bronkhe01,Charles Herman Bronkie
1885,bronkje01,1965.0,9.0,18.0,Afghanistan,,Kabul,,,,,,,Jeff,Bronkey,Jacob Jeffery,215.0,75.0,R,R,5/2/1993,8/12/1995,bronj001,bronkje01,Jacob Jeffery Bronkey
